Názov školy;Obec;Ulica;PSČ
Súkromná OA Profi-Kamo;Bratislava;Dudvážska 6;82107
Spojená škola -OA pre žiak. s tel.post.;Bratislava;Mokrohájska 3;84413
Obchodná akadémia;Pezinok;Myslenická 1;90201
Súkromná obchodná akadémia;Bratislava;Kremnická 26;85101
Súkromná obchodná akadémia;Plav. štvrtok;351;90068
Stredná odborná škola podnikania;Bratislava;Strečnianska 20;85106
Spojená škola s vyuč. jazykom maďarským -SOŠ;Senec;Lichnerova 71;90301
SOŠ obchodu a služieb S.Jurkoviča;Bratislava;Sklenárova 1;82109
Stredná odborná škola hotelových služieb a obchodu;Bratislava;Na pántoch 9;83106
Stredná odborná škola pedagogická;Modra;Sokolská 6;90001
Stredná odborná škola pedagogická;Bratislava;Bullova  2;84011
Súkromná pedagogická a sociálna akadémia;Bratislava;Ružová dol. 29;82109
Spojená škola - Praktická škola;Bratislava;Švabinského 7;85101
Spojená škola - Praktická škola;Bratislava;Dúbravská c. 1;84525
Spojená škola - Praktická škola;Bratislava;J. Valašťana-Dolinského 1;84101
Spojená škola - Praktická škola;Malacky;Pribinova 16/1;90101
Spojená škola - Praktická škola;Pezinok;Komenského 25;90201
Spojená škola - Praktická škola;Senec;Trnavská 2;90301
Spojená škola - Odborné učilište;Bratislava;Švabinského 7;85101
Odborné učilište;Bratislava;Dúbravska ces.1;84529
OU pre žiakov so sluchovým postihnutím;Bratislava;Koceľova 26;82108
Stredná odborná škola technická;Bratislava;Vranovská 4;85102
Stredná odborná škola elektrotechnická;Bratislava;Rybničná 59;83107
Cirkevná stredná odborná škola elektrotechnická P. G. Frassatiho;Bratislava;Vazovova 12;81107
Stredná priemyselná škola elektrotechnická;Bratislava;Zochova 9;81103
Stredná priemyselná škola elektrotechnická;Bratislava;K. Adlera 5;84102
Stredná priemyselná škola elektrotechnická;Bratislava;Hálova 16;85101
Stredná odborná škola dopravná;Bratislava;Kvačalova 20;82109
Stredná priemyselná škola dopravná;Bratislava;Kvačalova 20;82108
Súkromná SOŠ automobilová Duálna akadémia;Bratislava;Jána Jonáša 5;84306
Gymnázium Ladislava Dúbravu;Dunajská Streda;Smetanov háj 285/8;92901
Gymnázium Ármina Vámbéryho s vyučovacím jazykom maďarským - Vámbéry Ármin Gimnázium;Dunajská Streda;Nám. sv. Štefana 1190/4;92936
Gymnázium M. R. Štefánika;Šamorín;Slnečná 2;93101
Gymnázium Imre Madácha s vyučovacím jazykom maďarským - Madách Imre Magyar Tanítási Nyelvű Gimnázium;Šamorín;Slnečná 2;93101
Gymnázium Janka Matúšku;Galanta;Štvrť SNP 1004/34;92401
Gymnázium Zoltána Kodálya s vyučovacím jazykom maďarským - Kodály Zoltán Gimnázium;Galanta;Štvrť SNP 1004/34;92401
Gymnázium Vojtecha Mihálika;Sereď;Kostolná 119/8;92601
Gymnázium Ivana Kupca;Hlohovec;Komenského 13;92001
Gymnázium Pierra de Coubertina;Piešťany;Nám. SNP 9;92126
Gymnázium Ladislava Novomeského;Senica;Dlhá 1037/12;90540
Gymnázium Františka Víťazoslava Sasinka;Skalica;Námestie slobody 3;90901
Gymnázium Jána Hollého;Trnava;Na hlinách 7279/30;91701
Gymnázium Angely Merici;Trnava;Hviezdoslavova 10;91701
Športové gymnázium Jozefa Herdu;Trnava;Jána Bottu 31;91787
Súkromné bilingválne gymnázium;Galanta;Hodská 10;92401
Gymnázium Jána Baltazára Magina;Vrbové;Beňovského 358/100;92203
Arcibiskupské gymnázium biskupa P.Jantauscha;Trnava;Jána Hollého 9;91701
Športové gymnázium s vyučovacím jazykom maďarským - Magyar Tannyelvű Sportgimnázium;Dunajská Streda;Nám. sv. Štefana 1533/3;92901
